Name,Category,Cost,Notes,Price,Profit,Qty,Receipt,Sell,Status
10-11 澳白耳飾水滴(螺紋),澳白,CN¥599.00,改ins款耳飾,,$114.43,,安納塔,$200.00,In stock
澳白巴洛克11-12,澳白,CN¥399.00,,,$42.00,,安納塔,$99.00,In stock
4.5 - 5 18k baby鏈,,CN¥589.00,,,$64.86,,,$149.00,In stock
18k白 蛇骨鏈 2g,,"CN¥1,190.00",,,$119.00,,珍珠姊妹,$289.00,In stock
10-11 金珠炫彩吊墜近圓,,CN¥499.00,卸下來,$249.00,$0.00,,釘崎珠寶,,In stock
"10.3 鉑金灰素釘(中灰, 正圓, 有一個眼)",,CN¥799.00,,$269.00,$0.00,,安納塔,,In stock
925銀義大利回形針,,CN¥666.00,,,$0.00,,安納塔,,In stock
10-11 金珠戒指(中金),,CN¥499.00,,$149.00,$0.00,,釘崎珠寶,,In stock
10.3五鑽澳白耳墜,,"CN¥1,180.00",,$349.00,$0.00,,安納塔,,In stock
"10.1大溪地可頌戒指（青綠色, 正圓）",,CN¥659.00,自留,$299.00,$0.00,,安納塔,,In stock
11.0金珠炫彩耳釘＋方綠鋯石,,"CN¥1,180.00",,$399.00,$0.00,,安納塔,,In stock
10.1特濃金珠耳墜,,"CN¥1,499.00",,$599.00,$0.00,,安納塔,,In stock
10.9澳白耳墜馬眼款（炫藍）,,"CN¥1,980.00",,$699.00,$0.00,,安納塔,,In stock
18k 12.2澳白吊墜（炫藍）,,"CN¥2,280.00",,$799.00,$0.00,,安納塔,,In stock
18k 12.9 澳白三鑽吊墜（炫淡藍）,,"CN¥2,580.00",,$799.00,$0.00,,安納塔,,In stock
10.3-10.4 團購大溪地素丁（夢幻色）,,"CN¥1,299.00",,$499.00,$0.00,,安納塔,,In stock
9.8 辣色大溪地小傘耳墜,,CN¥739.00,,$299.00,$0.00,,安納塔,,In stock
11-12 炫彩濃金路路通,,CN¥799.00,,$399.00,$0.00,,安納塔,,In stock
11-12 炫彩濃金吊墜,,CN¥799.00,,,$284.86,,安納塔,$399.00,In stock
10.4金綠色大溪地,,CN¥990.00,,,$0.00,,小姿 - fannie,,In stock
大溪地延長鏈8.5-9.5,,"CN¥1,399.00",自留,,$0.00,,安納塔,,In stock
11.6 銀藍澳白方鑽開口戒指,,CN¥899.00,,,$270.57,,安納塔,$399.00,In stock
12.1澳白ins風吊墜（可拆）,,"CN¥1,180.00",,,$0.00,,安納塔,,In stock
13-14澳白抽拉毛衣鏈,,CN¥799.00,,,$0.00,,詩錡手作,,In stock
11.2 藍光澳白路路通,,CN¥999.00,,$399.00,$0.00,,安納塔,,In stock
18k8.9-9.1綠皮紫心耳釘,,"CN¥1,390.00",,$499.00,$0.00,,小姿 - fannie,,In stock
18k真鑽大溪地吊墜,,"CN¥1,999.00",,,$0.00,,小艾,,In stock
9.5-10 澳白耳墜（趙露思同款）,,CN¥820.00,,,$0.00,,安納塔,,In stock
8-8.5 akoya正圓無暇耳釘,,CN¥399.00,,,$0.00,2,安納塔,,In stock
8-9大溪地胸針,,CN¥158.00,,,$0.00,2,老周思曼,,In stock
10-11大溪地吊墜,,CN¥380.00,,,$0.00,,安納塔,,In stock
18k白 cartier素鏈,,CN¥799.00,,,$0.00,,珍珠姊妹,,In stock
18k 4-5 Akoya戒指,,CN¥299.00,做活動,,$0.00,,老周思曼,,In stock
10.9澳白戒指（金色）,,CN¥899.00,乾枯玫瑰,,$0.00,,安納塔,,In stock
12.9雙耳澳白吊墜,,CN¥950.00,,,$0.00,,安納塔,,In stock
11-12 濃金素戒指,,"CN¥1,399.00",,,$0.00,,釘崎珠寶,,In stock
11.9青草綠項鏈,,CN¥899.00,,,$0.00,,安納塔,,In stock
12.0寶石光澳白耳墜,,"CN¥1,880.00",,,$0.00,,安納塔,,In stock
大溪地keshi項鏈,,CN¥399.00,做活動,,$0.00,2,小艾,,In stock
13.0澳白吊墜,,"CN¥1,399.00",,,$0.00,,安納塔,,In stock
9.9 鉑金灰耳墜（耳圈款，正圓）,,CN¥677.00,,,$0.00,,安納塔,,In stock
18k 11-11.5澳白水滴吊墜(馬眼) 3A,,"CN¥1,800.00",,,$0.00,,安納塔,,In stock
11.2澳白圈圈耳墜（近近圓）3A,,"CN¥2,980.00",,,$0.00,,安納塔,,In stock
12-13 寶石光澳白戒指（素鑽圈）,,"CN¥1,100.00",,,$0.00,,安納塔,,In stock
8-8.5 Akoya耳釘（雪女款）,,CN¥450.00,,,$0.00,,安納塔,,In stock
18k真鑽12mm澳白海藍寶吊墜｜真科研鳳凰小卡,,"CN¥3,999.00",,,$0.00,,cherry,,In stock
18k真鑽 8-9mm大溪地平衡木項鏈,,CN¥998.00,,,$0.00,,安納塔,,In stock
